latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.98594,19.981651,113.0,7200,Europe/Berlin,CEST

time,temperature_2m (°C),rain (mm),wind_speed_10m (m/s)
2022-05-23T14:00,17.0,0.00,0.98
2022-05-23T15:00,17.5,0.00,1.70
2022-05-23T16:00,17.7,0.00,2.20
2022-05-23T17:00,17.3,0.00,2.22
2022-05-23T18:00,17.2,0.00,2.25
2022-05-23T19:00,16.8,0.00,1.84
2022-05-23T20:00,15.5,0.00,1.84
2022-05-23T21:00,14.4,0.00,2.61
2022-05-23T22:00,13.0,0.00,2.64
2022-05-23T23:00,11.9,0.00,2.70
2022-05-24T00:00,12.0,0.00,3.76
2022-05-24T01:00,11.5,0.00,3.68
2022-05-24T02:00,10.7,0.00,3.68
2022-05-24T03:00,10.1,0.00,3.75
2022-05-24T04:00,9.7,0.00,4.05
2022-05-24T05:00,9.6,0.00,4.53
2022-05-24T06:00,10.7,0.00,5.03
2022-05-24T07:00,12.1,0.00,4.90
2022-05-24T08:00,13.8,0.00,5.66
2022-05-24T09:00,15.7,0.00,6.30
2022-05-24T10:00,17.4,0.00,6.39
2022-05-24T11:00,18.4,0.00,6.22
2022-05-24T12:00,18.8,0.00,6.21
2022-05-24T13:00,19.6,0.50,5.58
2022-05-24T14:00,18.2,0.20,4.89
2022-05-24T15:00,19.3,3.90,5.02
2022-05-24T16:00,19.8,0.10,4.66
2022-05-24T17:00,18.2,0.70,2.97
2022-05-24T18:00,17.4,0.50,3.10
2022-05-24T19:00,16.6,0.40,3.13
2022-05-24T20:00,16.1,0.20,3.13
2022-05-24T21:00,15.6,1.50,3.07
2022-05-24T22:00,15.3,0.80,2.82
2022-05-24T23:00,15.1,0.60,2.25
2022-05-25T00:00,14.8,0.20,2.35
2022-05-25T01:00,14.7,0.10,1.55
2022-05-25T02:00,14.5,0.10,2.28
2022-05-25T03:00,14.8,0.10,2.39
2022-05-25T04:00,14.2,0.00,1.80
2022-05-25T05:00,14.1,0.00,2.38
2022-05-25T06:00,14.6,0.00,2.97
2022-05-25T07:00,15.7,0.00,3.42
2022-05-25T08:00,16.5,0.00,2.97
2022-05-25T09:00,17.0,0.00,3.32
2022-05-25T10:00,17.5,0.00,3.36
2022-05-25T11:00,17.2,0.00,4.83
2022-05-25T12:00,16.0,0.20,5.83
2022-05-25T13:00,15.6,0.70,5.62
2022-05-25T14:00,14.7,0.90,4.76
2022-05-25T15:00,13.8,0.80,4.12
2022-05-25T16:00,14.7,0.30,4.02
2022-05-25T17:00,13.8,0.40,3.26
2022-05-25T18:00,13.7,0.20,2.13
2022-05-25T19:00,13.5,0.30,1.75
2022-05-25T20:00,13.4,0.10,2.85
2022-05-25T21:00,12.9,0.00,2.69
2022-05-25T22:00,12.6,0.00,3.16
2022-05-25T23:00,11.7,0.00,3.55
2022-05-26T00:00,11.9,0.30,3.18
2022-05-26T01:00,11.2,0.00,2.88
2022-05-26T02:00,11.0,0.00,3.72
2022-05-26T03:00,10.9,0.00,4.43
2022-05-26T04:00,10.9,0.00,3.98
2022-05-26T05:00,10.8,0.00,3.92
2022-05-26T06:00,11.7,0.00,3.98
2022-05-26T07:00,13.0,0.00,3.80
2022-05-26T08:00,14.8,0.00,3.97
2022-05-26T09:00,16.9,0.00,4.88
2022-05-26T10:00,18.5,0.00,5.54
2022-05-26T11:00,19.2,0.00,6.18
2022-05-26T12:00,19.1,0.00,7.81
2022-05-26T13:00,19.6,0.00,8.41
2022-05-26T14:00,19.0,0.00,8.11
2022-05-26T15:00,19.7,0.00,8.50
2022-05-26T16:00,18.7,0.40,9.60
2022-05-26T17:00,17.5,0.00,6.93
2022-05-26T18:00,17.7,0.00,6.81
2022-05-26T19:00,17.4,0.00,6.97
2022-05-26T20:00,16.8,0.00,5.50
2022-05-26T21:00,16.4,0.00,5.40
2022-05-26T22:00,16.1,0.00,6.20
2022-05-26T23:00,15.0,0.00,5.60
2022-05-27T00:00,14.3,0.00,4.61
2022-05-27T01:00,13.4,0.00,3.67
2022-05-27T02:00,13.3,0.00,3.22
2022-05-27T03:00,13.9,0.00,4.13
2022-05-27T04:00,14.8,0.00,4.79
2022-05-27T05:00,15.2,0.00,5.14
2022-05-27T06:00,14.7,0.40,4.55
2022-05-27T07:00,14.8,0.10,5.32
2022-05-27T08:00,13.9,1.60,6.24
2022-05-27T09:00,14.0,0.90,6.14
2022-05-27T10:00,14.9,0.20,5.93
2022-05-27T11:00,13.6,1.50,6.43
2022-05-27T12:00,13.7,1.10,6.26
2022-05-27T13:00,14.1,0.10,6.59
2022-05-27T14:00,13.7,0.10,6.34
2022-05-27T15:00,14.8,0.00,6.82
2022-05-27T16:00,14.5,0.00,6.99
2022-05-27T17:00,15.1,0.30,8.33
2022-05-27T18:00,14.4,0.20,6.14
2022-05-27T19:00,14.3,0.10,6.00
2022-05-27T20:00,13.7,0.00,5.50
2022-05-27T21:00,11.9,0.00,4.49
2022-05-27T22:00,10.5,0.00,3.47
2022-05-27T23:00,9.9,0.00,4.46
2022-05-28T00:00,10.3,0.00,5.80
2022-05-28T01:00,9.6,0.00,5.40
2022-05-28T02:00,8.9,0.00,4.20
2022-05-28T03:00,8.3,0.00,4.12
2022-05-28T04:00,8.6,0.00,4.71
2022-05-28T05:00,8.8,0.00,5.55
2022-05-28T06:00,8.9,0.30,5.94
2022-05-28T07:00,9.5,0.00,6.08
2022-05-28T08:00,10.1,0.10,7.71
2022-05-28T09:00,10.9,0.20,7.42
2022-05-28T10:00,11.9,0.00,7.84
2022-05-28T11:00,12.5,0.30,7.57
2022-05-28T12:00,10.2,2.80,9.23
2022-05-28T13:00,11.3,0.10,6.89
2022-05-28T14:00,11.7,0.00,7.03
2022-05-28T15:00,13.4,0.10,7.51
